선불식할부거래사업자정보																																					
																																					
회사정보													판매품목(현재 시판중인 주요 3개 품목)						재무현황												선수금현황						
상호	대표자성명	선불식할부거래업등록번호	선불식할부거래할부거래등록일	법인등록번호	사업자등록번호	법인 소재지	영업소 소재지	전화번호	전자우편주소	영업상태	영업개시일	등록취소 및 폐업일자	상품명1	가격 및 지급방법1	상품명2	가격 및 지급방법2	상품명3	가격 및 지급방법3	자산(원)			부채(원)			자본총계	자본금	지급여력비율(%)		부채비율(%)		총선수금(원)	보전비율(%)	선수금보전 계약				
(주)하나로크루즈	김 *  * 	서울-2023-제172호	20230209	1101117303590	591-86-01533	서울특별시 종로구 인사동5길 25	상동	1577-9680	han*********@gmail.com	정상영업			560크루즈	560만원(56,000*100회, 100,000*56회) 서부지중해, 동부지중해, 알래스카 크루즈 여행상품					5,133,244,514	1,914,496,982	7,047,741,496	9,442,772,094	0	9,442,772,094	-2,395,030,598	1,500,000,000	74	100	134	100	10,609,644,120	38	국민은행	예치계약	4,038,199,240	국민은행(광화문종합금융센터)	1599-9999
(주)대노복지단	김 *  * 	경기-2024-제1호	20230206	1101114155944	106-86-66454	경기도 부천시 원미구 역곡로13번길 17		1522-3527	ama************@koreapeople.net	정상영업			어메이징 발코니	520만원(52,000*100회) 아시아 단기노선 크루즈 여행 1구좌 2인, 지중해 등 중기노선 크루즈 여행 1구좌 1인(선상팀, 유류세, 항만세 등 세금공과 불포함)					303,388,606	857,994,214	1,161,382,820	538,201,292	2,888,469,831	3,426,671,123	-2,265,288,303	1,500,000,000	21	100	295	100	202,652,600	50	상조보증공제조합	공제계약	101,326,300	상조보증공제조합	1600-1226
트래블뱅크(주)	유 *  * 	서울-2023-제170호	20230206	1911110058856	613-81-70994	서울특별시 마포구 만리재로 14	서울특별시 마포구 만리재로 14	1566-3318	fam*******@wehago.com	정상영업			600만원상품	600만원(40,000*150회) 크루즈 여행(지중해, 유럽, 알래스카)	600만원상품	600만원(80,000원*75회) 크루즈 여행(지중해, 유럽, 알래스카)	300만원상품	300만원(40,000원*75회) 크루즈 여행(동남아, 한일크루즈)	229,178,010	3,605,296,123	3,834,474,133	664,084,051	8,594,135,858	9,258,219,909	-5,423,745,776	1,500,000,000	34	100	241	100	2,363,870,600	50	상조보증공제조합	공제계약(여행상품)	1,182,889,000	상조보증공제조합	
에이치디투어존(주) [구, 현대투어존(주)]	정 *  * 	서울-2023-제169호	20230206	1101115981942	360-81-00309	서울특별시 강서구 양천로 364	서울특별시 강서구 양천로 364	1588-0151	fc1****@nate.com	정상영업			VIP-여행먼저 크루즈 [120]	297만원(24,750원*120회)왕복 항공요금, 크루즈 객실 및 식사비용, 여행지 식사비용, 기항지 관광비용 등	VIP-여행먼저 크루즈 [75]	297만원(39,600원*75회) 왕복 항공요금, 크루즈 객실 및 식사비용, 여행지 식사비용, 기항지 관광비용 등	VIP-파트너스 [144]	324만원(22,500원*144회) 왕복 항공요금, 크루즈 객실 및 식사비용, 여행지 식사비용, 기항지 관광비용 등	40,926,844,679	62,010,276,100	102,937,120,779	1,504,385,510	107,641,017,978	109,145,403,488	-6,208,282,709	1,500,000,000	94	100	106	100	59,514,091,255	50	기업은행	채무지급보증계약	29,760,000,000	기업은행(가양동지점)	02-3661-8877
롯데제이티비(주)	박 *  * 	서울-2023-제168호	20230119	1101113685710	201-86-02089	서울특별시 중구 서소문로 50	서울특별시 중구 서소문로 50	02-6313-8020,1577-6511	web******@lottejtb.com	정상영업									122,427,699,708	38,778,166,886	161,205,866,594	133,121,830,124	6,923,402,557	140,045,232,681	21,160,633,913	44,000,000,000	116	100	87	100	823,639,500	73	수협은행	지급보증계약	600,000,000	수협(강남기업금융본부)	02-2051-8315
온라이프상조(주)	노 *  * 	부산-2022-01호	20220831	1801111461879	857-81-02607	부산광역시 부산진구 가야대로 767	부산광역시 부산진구 가야대로 767	1660-2013/051-927-8111	on*@on-life.co.kr	정상영업	20220901		온믿음	390만원 (30,000*130회) 수의(고급저마), 관(오동나무 4.2 2단), 리무진(왕복200km 지원)	온소망	490만원 (35,000*140회) 수의(대마), 관(오동나무 4.2 2단), 리무진(왕복400km 지원)	온사랑	720만원 (50,000*144회) 수의(대마, 특), 관(오동나무 4.2 2단), 리무진(전국무료 지원)	2,007,265,644	2,073,596,159	4,080,861,803	240,102,882	2,379,307,602	2,619,410,484	1,461,451,319	1,500,000,000	162	100	64	100	593,315,000	50	국민은행	예치계약	296,657,500	국민은행 가야지점	051-209-8135
[폐업]으뜸라이프	김 *  * 	서울-2011-제97호	20110322	1311110207629	129-86-20295	서울특별시 용산구 한강대로21길 29-28		1599-7882	top******@hanmail.net	폐업		20120726							0	0	0	0	0	0	0	300,000,000		100		100	0	0	국민은행	예치계약			
[폐업](주)금정상조	박 *  * 	서울-2011-제90호	20110316	1101113757650		서울특별시 송파구 백제고분로15길 56		02-420-2177	gst**@naver.com	폐업		20110712							0	0	0	0	0	0	0	300,000,000		100		100	0	0	국민은행	예치계약		국민은행 서잠실지점	02-419-1671
(주)하나로라이프	정 *  * 	서울-2019-제165호	20190408	1101113158155	107-86-66909	서울특별시 영등포구 경인로71길 70	서울특별시 영등포구 경인로71길 70	1899-4171	jdy****@nate.com	정상영업	20190408		온정형	3,200,000원(20,000원x160회), 수의(대마, 국내산), 관(고급오동나무)	진심형	3,900,000원(10,000원x390회/20,000원x195회/39,000x100회), 수의(대마, 국내산), 관(고급오동나무)	정성형	4,200,000원(42,000x100회), 수의(대마, 국내산), 관(오동나무2단관)	706,813,154	250,011,000	956,824,154	226,804,000	0	226,804,000	730,020,154	1,569,000,000	422	100	24	100	225,368,000	50	신한은행	예치계약	112,684,000	신한은행 강북방학센터점	02-906-1386
씨케이티피에스라이프(주)[구, 씨케이티(주), 피에스라이프(주)]	양 *  * 	서울2018-제164호	20181101	1101113794652	120-87-21988	서울특별시 송파구 중대로 158	상동	02-569-0071	yjj***@ckt21.com	정상영업	20190801		부모사랑 PS 199 PLUS	1,990,000원(10,000원x199회), 수의(대마, 중국산), 관(오동나무, 중국산), 리무진(200km)	부모사랑 PS 430	4,300,000원(10,000원x1회, 30,000원x143회), 수의(대마, 중국산), 관(오동나무, 중국산), 리무진(400km)	부모사랑 PS 1200	12,000,000원(30,000원x150회, 7,500,000원 일시납), 주석유골함, 수의(대마, 중국산), 관(오동나무, 중국산), 리무진(전국)	410,137,149	1,944,876,000	2,355,013,149	202,946,942	5,410,000	208,356,942	2,146,656,207	5,437,105,000	39779	100	9	100	5,480,000	85	신한은행	예치계약	4,658,000	신한은행 테헤란로기업금융센터	02-554-6800
(주)평화누리	천 *  * 	서울-2018-162	20180619	1101116769397	813-88-01058	서울특별시 서초구 반포대로 22	서울특별시 서초구 반포대로 22	02-2258-8403	phd**@cef.or.kr	정상영업	20180611		평화 450만원	450만원 (22,500*200회/45,000*160회/4,275,000일시불) 수의(대마, 중국산), 관(오동나무, 중국산), 버스(왕복200km) 리무진(100km이내)무료제공 등	평화 530만원	530만원 (26,500*200회/53,000*100회/5,035,000일시불) 수의(대마, 중국산), 관(오동나무, 중국산), 버스, 리무진(200km이내 무료제공) 등	평화 1000만원	1000만원 50,000*200회/100,000*100회/9,500,000일시불) 수의(대마, 중국산), 관(오동나무, 중국산), 버스, 리무진(전국 무료)제공 등	42,930,091,408	97,645,445,181	140,575,536,589	3,277,773,364	108,477,519,389	111,755,292,753	28,820,243,836	10,000,000,000	126	100	79	100	108,733,124,238	51	우리은행	예치계약	55,660,822,755	우리은행 서초남지점	02-587-7491
산림조합라이프 주식회사[(구)에스제이산림조합상조 주식회사]	이 *  * 	서울-2016-제155호	20161024	1101116162799	227-86-00536	서울특별시 송파구 석촌호수로 166	서울특별시 송파구 석촌호수로 166	1800-3535	sjs*****@sjsangjo.com	정상영업	20161024		숲으로558	558만원(20,000원*279회), 수의(대마, 중국산), 관(오동나무, 중국산), 고급봉안함(화장시), 리무진 및 버스(전국무료) 등	숲으로540	540만원(20,000*270회), 수의(대마, 중국산), 관(오동나무, 중국산), 고급봉안함(화장시), 리무진 및 버스(전국무료) 등	숲으로480	480만원(24,000*200회), 수의(대마, 중국산), 관(오동나무, 중국산), 진공봉안함(화장시), 리무진 및 버스(400km이내) 등	45,625,181,538	80,650,305,408	126,275,486,946	2,433,572,114	125,206,549,160	127,640,121,274	-1,364,634,328	2,915,040,000	99	100	101	100	131,633,809,100	50	상조보증공제조합/신한은행	공제계약/지급보증	56403555550/9413349000	상조보증공제조합, 신한은행 문정역금융센터	1600-1226, 02-6023-7826
[등록취소]㈜중앙고속	권 *  *  *  *  *  *  * 	경기-2015-제3호	20150703	1101110101090	219-81-01636	서울특별시 송파구 올림픽로35길 123	서울특별시 송파구 올림픽로35길 123	1666-8844	cha*******@hanmail.net	등록취소	20150201		SAJA210+	210만원(17,500*120회/50,000*42회) 쿠루즈, 어학연수, 허니문&패키지, 상조서비스	SAJA396	396만원(33,000*120회/66,000*60회) 쿠루즈, 어학연수, 허니문&패키지, 상조서비스	SAJA480	480만원(40,000*120회/80,000*60회) 쿠루즈, 어학연수, 허니문&패키지, 상조서비스	35,771,090,640	31,354,862,795	67,125,953,435	39,171,192,192	5,672,304,050	44,843,496,242	22,282,457,193	15,350,000,000		100	67	100	60,190,000	50	상조보증공제조합	공제계약	30,095,000	상조보증공제조합	1600-1226
[직권말소](주)베젤	상 *  * 	인천 2015-제1호	20150615	1201110711524		인천광역시 남동구 경인로 508		070-4907-8789	189*****@bezellife.com	폐업	20150615	20171228							0	0	0	0	0	0	0	300,000,000		100		100	0	0	외환은행	예치계약	0		
[직권말소](주)하나로라이프2[구. (주)제이비라이프][(주)하나로라이프(서울-2019-제165호)로 흡수합병]	정 *  * 	서울-2017-제160호	20150519	2101110104845	191-81-00023	서울특별시 영등포구 경인로71길 70	상동	1899-4171	jdy****@nate.com	폐업	20150316	20190411	진심형	390만원(39,000원*100회) 수의(대마,국내산), 관(고급 오동나무관) 캐딜락, 버스 등	진심형	375만원(25,000원*151회), 수의(대마,국내산), 관(고급 오동나무관),캐딜락, 버스 등	정성형	420만원(4만2천원*100회), 수의(대마, 국내산), 관(고급오동나무2단관), 캐딜락, 버스 등	2,724,689	65,084,920	67,809,609	0	119,652,000	119,652,000	-51,842,391	330,000,000	57	100	176	100	119,862,000	50	신한은행	예치계약	59,531,000		
[직권말소](주)하나린라이프	윤 *  * 	광주광역시 제2015-1호	20150430	2001110425300	205-81-41546	광주광역시 광산구 첨단중앙로124번길 77		062-974-3030	han********@hanmail.net	폐업	20150711	20190220	하나린 VIP	390만원(3만원x130회) 수의(대마, 중국산), 관(오동나무, 중국산), 리무진(200km이내 무료제공) 등					143,667,541	137,950,020	281,617,561	3,978,401	34,868,700	38,847,101	242,770,460	300,000,000	796	100	14	100	50,859,626	50	국민은행	예치계약	25,429,813	국민은행(송정지점)	062-941-0074
[폐업](주)기업상조	서 *  * 	서울-2015-제148호	20150318	1101115656214	172-86-00027	서울특별시 광진구 군자로 108		02-499-5100		폐업	20150319	20170220	실속형	2.5만원~4만원(10년 120회~20년 240회) 기본품목(장례지도사, 리무진, 관, 수의, 상복, 운구도우미)+선택품목(야간접객도우미, 횡대, 상주편의용품) 등을 가입단체에서 상조 상품조립	표준형	4만원~6만원(10년 120회~20년 240회) 기본품목(장례지도사, 리무진, 관, 수의, 상복, 운구도우미)+선택품목(야간접객도우미, 횡대, 상주편의용품) 등을 가입단체에서 상조 상품조립	프리미엄형	6만원~9만원(10년 120회~20년 240회) 기본품목(장례지도사, 리무진, 관, 수의, 상복, 운구도우미)+선택품목(야간접객도우미, 횡대, 상주편의용품) 등을 가입단체에서 상조 상품조립	274,104,543	20,000,000	294,101,543	0	0	0	294,101,543	300,000,000	0	100	0	100	0	0	신한은행	예치계약	0	신한은행(군자역지점)	02-492-3690
[폐업]㈜동원씨앤드에스	이 *  * 	서울-2015-제145호	20150908	1101114725606	206-86-59286	서울특별시 성동구 천호대로 436	서울특별시 성동구 천호대로 436	02-2210-4898	hon*******@naver.com	폐업	20150908	20160610	보급형	200만원(전액후불제) 장례도우미3명, 수의(마100%중국,국내), 장의버스/리무진 택일(왕복200km이내 무료)	골드형	300만원(전액후불제) 장례도우미5명, 수의(대마100%중국,국내제작), 장의버+리무진 택일(왕복200km이내 무료)	VIP형	650만원(전액후불제) 장례도우미8명, 수의(명품대마100%중국,국내수제작), 장의버스+리무진 택일(전국무료), 3단근조화환	325,359,290	38,168,492	363,527,782	26,269,384	0	26,269,384	337,258,398	300,000,000		100	7	100	0	0	신한은행	예치계약	0		
[폐업]㈜푸른라이프	최 *  * 	전북2014-제2호	20140917	2101110099820	402-86-10654	전북 전주시 완산구 중화산로 100, 4층 102호(중화산동 2가)	좌동	063-223-4747	cds****@nate.com	폐업	20140917	20150119							0	0	0	0	0	0	0	300,000,000		100		100	0	0	신한은행	예치계약	0		
[폐업]㈜늘사랑상조[구.㈜엠제이라이프]	김 *  * 	경기-2014-제04호	20140724	1341110213441	138-81-71605	경기 안양시 동안구 관악대로 359번길 10-18, 206호	좌동	1599-2495	ce*@mjlife.kr	폐업	20140724	20170829	일반270	장례 후 지급(전액), 전액후불식	상품390	장례 후 지급(전액), 전액후불식	고급495	장례 후 지급(전액), 전액후불식	77,961,922	8,562,200	86,524,122	3,875,413	0	3,875,413	82,648,709	300,000,000		100	4	100	0	0	국민은행	예치계약	0		
[폐업]㈜한두레[선불식할부거래업자에 해당되지 않아 폐업]	김 *  * 	서울-2014-제143호	20140528	1101114434900	105-87-48805	서울특별시 종로구 필운대로 12		02-720-9517	mas***@handurae.org	폐업	20140701	20190118	더불어 삶 상모계	3,420,000(22,800*150회) 맞춤형 선택구매					426,512,350	886,949,428	1,313,461,778	16,767,190	1,696,966,813	1,713,734,003	-400,272,225	310,000,000	76	100	130	100	1,976,409,640	51	국민은행	예치계약	1,009,989,815	국민은행(돈화문지점)	02-745-4551
[폐업]㈜메가라이프	김 *  * 	전북-2014-제1호	20140707	2101110098056	402-86-09161	전북 전주시 완산구 노송여울1길 3, 3층(서노송동, 대한통운빌딩)	상동	063-288-3311	bab****@nate.com	폐업	20140707	20151221	메가크루즈	396만원 크루즈396					0	0	0	0	0	0	0	300,000,000	100	100		100	35,310,000	50	신한은행	예치계약	17,655,000		
㈜우리관광	안 *  * 	서울-2014-제142호	20140701	1101114848086	109-86-34553	서울특별시 양천구 가로공원로 137	상동	1644-9645	woo********@naver.com	정상영업	20120419		WRT490	490만원(100,000*49회) 여행상품					2,521,607,571	17,293,351,799	19,814,959,370	119,624,217	29,717,336,620	29,836,960,837	-10,022,001,467	1,500,000,000	56	100	151	100	25,280,890,000	50	국민은행	예치계약	12,657,408,368	국민은행 신월동지점	02-2697-0972
㈜한주라이프	이 *  * 	서울-2014-제141호	20140508	1101115397537	215-87-90764	서울특별시 영등포구 선유로 130	상동	010-개인정보	han******@gmail.com	정상영업	20140424		더드림330	330만원(3만*110회) 수의(저마, 중국), 오동관(약15mm1단, 중국), 리무진,버스(택1) 관내지원 등	더드림480	480만원(3만*160회) 수의(저마, 중국), 오동관(약40mm2단, 중국), 리무진,버스(왕복 300km) 등	더드림630	630만원(3만*210회) 수의(대마, 중국), 오동관(약40mm2단, 중국), 리무진,버스(전국무료) 등	1,461,775,785	17,241,556	1,479,017,341	93,263,730	34,232,000	127,495,730	1,351,521,611	1,500,000,000	4048	100	9	100	34,724,000	50	신한은행	예치계약	17,362,000	신한은행 창신동금융센터	02-2236-5633
[폐업](주)하늘예담	고 *  * 	서울2014-제140호	20140304	1101115343811	105-87-98659	서울시 마포구 월드컵북로 23길 9, 2층	상동	02-1599-4277	adm**@hylife.co.kr	폐업		20140507							0	0	0	0	0	0	0	300,000,000		100		100	0	0	국민은행	예치계약	0		
[폐업] ㈜건국상조	문 * 	충북-2014-제1호	20140106	1511110036503	303-81-56979	충청북도 충주시 중앙탑면 탄금대로 851	경기도 수원시 장안구 경수대로 759	1577-4404	kon*******@naver.com	폐업	20131224	20180307	180만원	수의,버스/리무진(100km) 택1,분골함(오동목)/관보 택1, 상복(남3,여3), 관(오동나무), 장례지도사1명, 도우미 4명 등	280만원	수의, 꽃서비스(10만원상당), 리무진,버스(200km), 유골함(황토보자기/횡대(오동목) 택1, 상복(남5,여5), 관(오동나무), 장례지도사 1명, 도우미5명 등			8,913,287	150,009,000	158,922,287	3,367,060	11,400,000	14,767,060	144,155,227	300,000,000	5158	100	9	100	2,850,000	50	국민은행	예치계약	1,425,000	국민은행(정자동지점)	031-251-1986
[등록취소]베누스(주)	문 *  * 	서울-2013-138호	20131223	1201110596207	121-86-14329	서울특별시 구로구 디지털로30길 28	서울특별시 구로구 디지털로30길 28	02-2098-3800	tax******@naver.com	등록취소	20120112		웨딩296	296만원/계약금 중도금 잔금, 스튜디오, 드레스 메이크업, 부케, 이벤트 등	웨딩360	360만원/계약금 중도금 잔금, 스튜디오, 드레스 메이크업, 부케, 이벤트 등			43,173,634	105,405,363	148,578,997	645,482,148	0	645,482,148	-496,903,151	340,000,000	-70	100	434	100	284,370,000	9	국민은행	예치계약	24,863,332		
[폐업](주)가족사랑휴	주 *  * 	경기-2013-02호	20131119	1342110145452	126-86-70438	경기도 광주시 오포읍 오포로 211-49	경기도 광주시 오포읍 오포로 211-49	1899-5113	zye****@nate.com	폐업	20131119	20160710							363,929,189	50,000,000	413,929,189	106,814,097	0	106,814,097	307,115,092	300,000,000		100	26	100	0	0	국민은행	예치계약	0		
[폐업]미소도움상조㈜[구.예사랑상조㈜,가족상조(주)]	임 *  * 	경기-2012-04호	20121015	2850110208905	128-86-68317	경기도 고양시 덕양구 통일로 500	상 동	031-963-6210	yes****@e-yemon.co.kr	폐업	20111222	20180108	240만원	240만원(2만x120회), 수의,오동나무, 리무진 왕복100km 무료	360만원	360만원(3만x120회), 수의,오동나무,리무진 왕복 200km 무료	480만운	480만원(4만x120회), 수의,오동나무, 리무진 왕복 300km 무료	406,692,294	15,000,000	421,692,294	70,709,995	0	70,709,995	350,982,299	300,000,000	3527	100	17	100	8,431,702	3	신한은행	예치계약	253,311	신한은행(충무로극동지점)	02-2273-9300
[등록말소]㈜예드림라이프[구, ㈜한상라이프, (주)한국요양상조]	마 *  * 	대전-선불식할부거래업-24	20120921	1355110205910	134-86-93091	대전광역시 동구 계족로 510	대전광역시 동구 계족로 510	1644-4379	san*******@hanmail.net	폐업	20120806	20160713	예드림 6호	396만원(3만원x132회), 수의(대마,국내산), 관(오동나무,중국산), 리무진(거리관계없음) 등	예드림 7호	264만원(2만원x132회), 수의(저마,국내산), 관(오동나무,중국산), 장의버스 또는 운구차 (왕복200km)등			152,454,541	268,511,944	420,966,485	406,458,605	0	406,458,605	14,507,880	430,000,000	110	100	97	100	139,448,000	34	신한은행	예치계약	47,533,588	신한은행(분당지점)	031-711-5300
[폐업](주)백년상조	정 *  * 	경북-2012-제11호	20120404	1717110098614	506-81-79076	경북 포항시 북구 침촌로 9(장성동)	상 동	010-개인정보	yms*********@naver.com	폐업	20120312	20131212							0	0	0	0	0	0	0	300,000,000		100		100	0	0	우리은행	예치계약	0		
[폐업](주)우리동네상조[구, (주)대한공직자상조서비스]	김 *  * 	서울-2013-제135호	20130826	1101115192903	114-87-10884	서울특별시 서초구 방배로 270	상동	1644-4417	ksj*****@naver.com	폐업	20130826	20170430	일반형	288만원(월24,000원X120회) 수의(대마,중국), 관(오동나무,중국), 장의버스,리무진(왕복 150km), 도우미40시간(10시간*4명),일회용품 300인분	실속형	384만원(월30,000원X120회) 수의(대마,중국), 관(오동나무, 중국), 장의버스,리무진(왕복 300km), 도우미 60시간(10시간*6명), 일회용품 600인분	고급형	492만원(월41,000원X120회) 수의(대마,중국), 관(오동나무,중국), 장의버스,리무진(왕복 400km), 도우미80시간(10시간*8명), 일회용품 600인분	261,438,461	29,832,000	291,270,461	71,200	0	0	291,270,461	300,000,000		100	0	100	0	0	신한은행	예치계약	0	신한은행(이수역지점)	02-536-0505
[폐업](주)우리라이프상조	김 *  * 	서울-2013-제137호	20131031	1101115249225	101-86-84383	서울시 강남구 테헤란로 19길 10, 7층(역삼동, 정안빌딩)	서울시 강남구 테헤란로 19길 10, 7층(역삼동, 정안빌딩)	02-581-0108	woo**@woorisj.com	폐업	20131018	20150611							0	0	0	0	0	0	0	300,000,000		100		100	0	0	국민은행	예치계약	0		
[직권말소](주)동원라이프[세종라이프(주)로 흡수합병]	마 *  * 	서울-2012-제122호	20120803	1101114933796	204-86-36462	서울특별시 광진구 아차산로36길 5	서울특별시 광진구 아차산로36길 5	02-924-0960	swd****@empas.com	폐업	20120809	20190326	다드림 300	300만원(25,000*120회),수의(저마, 중국산), 관(오동나무,중국산), 리무진,버스 중 택1 (왕복 300km 무료제공)	다드림 396	396만원(33,000*120회) 수의(대마,중국산), 관(오동나무, 중국산), 리무진, 버스(왕복 300km 무료제공)	다드림 588	588만원(49,000원*120회) 수의(대마,중국산), 관(오동나무, 중국산), 리무진, 버스(전국무료제공)	54,845,175	511,705,296	566,550,471	5,900,723	901,790,240	907,690,963	-341,140,492	300,000,000	59	100	160	100	1,022,014,670	50	신한은행	예치계약	511,007,335	신한은행(신설동지점)	02-2236-5631
